ID,Ano,Faixa-Etária,Gênero,Como você se identifica,Estado,Região,Escolaridade,Área de Formação,Você está trabalhando?,Setor,Cargo como Gestor,Cargo Atual,Nivel,Média Salarial,Tempo de experiência na área de dados
ID3235,2023,40-44,Feminino,Parda,PR,Sul,Pós-graduação,Ciências da Natureza,Sim,Indústria,Não,Data Product Manager,Sênior,10000,3 a 4 anos
ID3236,2023,30-34,Masculino,Branca,MG,Sudeste,Pós-graduação,Negócios,Sim,Setor Imobiliário,Sim,Gerente,Não Declarou,18000,Mais 10 anos
ID3237,2023,35-39,Masculino,Branca,RS,Sul,Pós-graduação,Tecnologia,Sim,Tecnologia,Não,Analista de Dados,Pleno,5000,3 a 4 anos
ID3238,2023,30-34,Feminino,Branca,RS,Sul,Pós-graduação,Negócios,Sim,Outra Opção,Não,Analista de Dados,Júnior,5000,1 a 2 anos
ID3239,2023,25-29,Feminino,Branca,ES,Sudeste,Graduação,Engenharia,Sim,Finanças ou Bancos,Não,Cientista de Dados,Pleno,10000,3 a 4 anos
ID3240,2023,30-34,Feminino,Branca,SP,Sudeste,Graduação,Tecnologia,Sim,Internet,Não,Analista de Dados,Sênior,10000,3 a 4 anos
ID3241,2023,30-34,Masculino,Parda,PR,Sul,Pós-graduação,Tecnologia,Sim,Tecnologia,Não,Engenheiro de Dados,Pleno,7000,3 a 4 anos
ID3242,2023,25-29,Masculino,Branca,PR,Sul,Estudante de Graduação,Outra opção,Sim,Varejo,Não,Analista de Dados,Júnior,2500,Menos 1 ano
ID3243,2023,25-29,Feminino,Parda,PI,Nordeste,Estudante de Graduação,Estatística,Sim,Setor Público,Não,Estatístico,Júnior,1500,1 a 2 anos
ID3244,2023,50-54,Masculino,Branca,MG,Sudeste,Pós-graduação,Tecnologia,Sim,Área de Consultoria,Sim,Diretor,Não Declarou,45000,Mais 10 anos
ID3245,2023,35-39,Masculino,Branca,Não Declarou,Não Declarou,Pós-graduação,Saúde,Sim,Entretenimento ou Esportes,Não,Analista de Dados,Pleno,18000,3 a 4 anos
ID3246,2023,35-39,Masculino,Parda,SP,Sudeste,Pós-graduação,Tecnologia,Sim,Finanças ou Bancos,Não,Engenheiro de Dados,Sênior,18000,5 a 6 anos
ID3247,2023,30-34,Masculino,Branca,ES,Sudeste,Pós-graduação,Engenharia,Sim,Finanças ou Bancos,Não,Analista de Dados,Pleno,7000,1 a 2 anos
ID3248,2023,25-29,Masculino,Branca,SP,Sudeste,Não tenho graduação,Não tenho graduação,Sim,Tecnologia,Sim,Team Leader,Não Declarou,18000,7 a 10 anos
ID3249,2023,25-29,Masculino,Preta,ES,Sudeste,Mestrado,Engenharia,Sim,Internet,Sim,Team Leader,Não Declarou,10000,3 a 4 anos
ID3250,2023,35-39,Masculino,Parda,SP,Sudeste,Graduação,Tecnologia,Sim,Tecnologia,Não,Analista de BI,Sênior,27500,Mais 10 anos
ID3251,2023,40-44,Feminino,Branca,SP,Sudeste,Pós-graduação,Outra opção,Sim,Finanças ou Bancos,Não,Outra Opção,Sênior,14000,5 a 6 anos
ID3252,2023,30-34,Masculino,Preta,RJ,Sudeste,Pós-graduação,Estatística,Sim,Seguros ou Previdência,Não,Analista de Suporte,Pleno,5000,5 a 6 anos
ID3253,2023,22-24,Masculino,Branca,MG,Sudeste,Estudante de Graduação,Tecnologia,Sim,Marketing,Não,Analista de BI,Júnior,1500,1 a 2 anos
ID3254,2023,25-29,Masculino,Branca,PR,Sul,Graduação,Tecnologia,Sim,Área da Saúde,Não,Engenheiro de Dados,Pleno,14000,3 a 4 anos
ID3255,2023,25-29,Masculino,Branca,SP,Sudeste,Graduação,Engenharia,Sim,Agronegócios,Não,Analista de BI,Pleno,7000,3 a 4 anos
ID3256,2023,35-39,Masculino,Parda,RJ,Sudeste,Pós-graduação,Negócios,Sim,Finanças ou Bancos,Não,Outra Opção,Pleno,1500,Menos 1 ano
ID3257,2023,25-29,Feminino,Parda,PR,Sul,Pós-graduação,Tecnologia,Sim,Setor Público,Sim,Team Leader,Não Declarou,7000,3 a 4 anos
ID3258,2023,25-29,Masculino,Branca,PB,Nordeste,Graduação,Tecnologia,Sim,Outra Opção,Não,Engenheiro de Dados,Júnior,5000,3 a 4 anos
ID3259,2023,25-29,Masculino,Branca,RS,Sul,Pós-graduação,Tecnologia,Sim,Finanças ou Bancos,Não,Analista de BI,Pleno,5000,3 a 4 anos
ID3261,2023,40-44,Masculino,Branca,SP,Sudeste,Pós-graduação,Negócios,Sim,Finanças ou Bancos,Sim,Gerente,Não Declarou,35000,Mais 10 anos
ID3262,2023,25-29,Masculino,Parda,SP,Sudeste,Graduação,Tecnologia,Sim,Tecnologia,Não,Analista de BI,Pleno,5000,1 a 2 anos
ID3263,2023,25-29,Feminino,Preta,SP,Sudeste,Estudante de Graduação,Tecnologia,Sim,Tecnologia,Não,Analista de BI,Júnior,1500,1 a 2 anos
ID3264,2023,25-29,Masculino,Parda,ES,Sudeste,Graduação,Engenharia,Sim,Indústria,Não,Cientista de Dados,Pleno,10000,3 a 4 anos
ID3265,2023,40-44,Masculino,Branca,RS,Sul,Pós-graduação,Engenharia,Sim,Setor Público,Não,Outra Opção,Júnior,5000,Mais 10 anos
ID3266,2023,25-29,Masculino,Branca,SP,Sudeste,Estudante de Graduação,Estatística,Sim,Finanças ou Bancos,Não,Cientista de Dados,Júnior,5000,1 a 2 anos
ID3267,2023,25-29,Masculino,Branca,CE,Nordeste,Estudante de Graduação,Tecnologia,Sim,Finanças ou Bancos,Não,Cientista de Dados,Júnior,2500,Menos 1 ano
ID3268,2023,45-49,Masculino,Preta,Não Declarou,Não Declarou,Mestrado,Tecnologia,Sim,Outra Opção,Sim,Team Leader,Não Declarou,35000,7 a 10 anos
ID3269,2023,30-34,Masculino,Branca,SP,Sudeste,Pós-graduação,Outra opção,Sim,Área da Saúde,Não,Analista de BI,Pleno,5000,3 a 4 anos
ID3270,2023,25-29,Masculino,Branca,SP,Sudeste,Estudante de Graduação,Comunicação,Sim,Telecomunicação,Não,Analista de Negócios,Pleno,3500,3 a 4 anos
ID3271,2023,25-29,Masculino,Branca,CE,Nordeste,Pós-graduação,Engenharia,Sim,Internet,Não,Engenheiro de Dados,Sênior,40000,4 a 6 anos
ID3272,2023,30-34,Feminino,Branca,RJ,Sudeste,Pós-graduação,Comunicação,Sim,Setor Alimentício,Sim,Supervisor,Não Declarou,7000,1 a 2 anos
